All files in dir with metriaclima-greshakae-ID11-READ2.fastq.gz,2400500,333592163,138.967782962,0.0152094372325,40,151,151.0
All files in dir with metriaclima-patricki-ID22-READ2.fastq.gz,2438938,335615894,137.607390594,0.0156195485811,40,151,151.0
All files in dir with neolamprologus-bifasciatus-ID80-READ2.fastq.gz,1442406,197928872,137.221331581,0.0202768893195,40,151,151.0
All files in dir with neolamprologus-brichardi-ID50-READ2.fastq.gz,2128635,290862128,136.64255638,0.0170448300284,40,151,151.0
All files in dir with neolamprologus-cylindricus-ID68-READ2.fastq.gz,1497777,204860471,136.776349884,0.0203143049949,40,151,151.0
All files in dir with neolamprologus-fasciatus-ID86-READ2.fastq.gz,2095568,289929496,138.353656861,0.01633682532,40,151,151.0
All files in dir with neolamprologus-furcifer-ID66-READ2.fastq.gz,1649214,229038482,138.877357335,0.0183739223473,40,151,151.0
All files in dir with neolamprologus-helianthus-ID83-READ2.fastq.gz,2494638,348418953,139.66713928,0.0142614879731,40,151,151.0
All files in dir with neolamprologus-longicaudata-ID54-READ2.fastq.gz,1628160,226935036,139.381286851,0.0178999241524,40,151,151.0
All files in dir with neolamprologus-longior-ID35-READ2.fastq.gz,1678308,231706435,138.059542706,0.0187501243559,40,151,151.0
All files in dir with neolamprologus-modestus-ID61-READ2.fastq.gz,1491548,204247477,136.93657663,0.0199675142899,40,151,151.0
All files in dir with neolamprologus-niger-ID59-READ2.fastq.gz,2279716,318118281,139.542943507,0.0152765679528,40,151,151.0
All files in dir with neolamprologus-nigriventer-ID67-READ2.fastq.gz,1597097,221546085,138.717989577,0.0188175647325,40,151,151.0
All files in dir with neolamprologus-obscurus-ID53-READ2.fastq.gz,1318123,184320134,139.83530672,0.0203308363103,40,151,151.0
All files in dir with neolamprologus-olivaceous-ID85-READ2.fastq.gz,1745612,240434330,137.736409924,0.0179610661217,40,151,151.0
All files in dir with neolamprologus-prochilus-ID51-READ2.fastq.gz,2156968,298551871,138.412749285,0.0158946332934,40,151,151.0
All files in dir with neolamprologus-pulcher-ID42-READ2.fastq.gz,1902715,259734882,136.50750743,0.0175991187756,40,151,151.0
